instance_id,n_vertices,n_edges,k,method,colorable,time_seconds,coloring
1,4,4,2,BackTracking,YES,0.000023,"[0, 1, 0, 1]"
2,3,3,2,BackTracking,NO,0.000013,[]
3,4,5,3,BackTracking,YES,0.000005,"[0, 1, 2, 1]"
